beta11,beta12,beta21,beta22,alpha1,alpha2
0.00011191187778664733,0.0801057963975438,0.04373237610373094,0.0023260422073564197,1.4003630671854237,0.654050565066859
0.0020128875189994767,0.07827944483259482,0.04512683734981688,0.00014101802203429352,1.4002421359341675,0.6538780134146559
0.012102140756067137,0.0729801325975964,0.04537147456178412,8.092198965278436e-06,1.649292155045672,0.6563293897768759
0.0003334634363148817,0.079697039177261,0.04447762722858706,0.0008179072892997846,1.400259429512106,0.6539335126493216
7.326487484472113e-05,0.08019008106556069,0.0433575601118251,0.0032764081683153983,1.4010143226473244,0.6578806492607222
0.00032091485046755776,0.07969607533468792,0.04447151877553285,0.0007986389185867686,1.4009284694592266,0.6549492865042524
0.04808199541950145,0.06942360317263606,0.045542061449223584,6.619273881388378e-06,1.4002572169120635,0.6537999263530128
0.002825941543516295,0.07786834641384843,0.04521096396356753,0.00010501799425926132,1.3997828389608857,0.6537090466734368
0.0001206290024224452,0.08008450482941902,0.04378434283890362,0.0021946966598432255,1.4003539577152704,0.6540488206204231
0.00020696030289840236,0.07988690698487154,0.044215284262430286,0.0012351972623750674,1.4007798464032304,0.6546470592798701
5.5042619088028494e-05,0.08028333597526088,0.04299614809983933,0.004626156970414608,1.4003029937178062,0.6540003898233071
0.0019449946432583535,0.07831808285002805,0.04511647943601639,0.00014326672041640984,1.400280711807718,0.6539652893150345
0.0015460658393935665,0.07856740007137762,0.045065106182109155,0.00016989789975081654,1.4003931858724932,0.6541685438675217
0.022139184602901384,0.07291788979283406,0.04546164185225212,1.4226473579437822e-05,1.4001428795228466,0.6538730174062403
4.1671241890507415e-05,0.08032109403109867,0.04265419789479156,0.005947732308791131,1.400478461133738,0.6543136996166057
0.10419114188413038,0.06441463705045873,0.04553626158871943,3.3872522638358063e-07,1.4077735619065765,0.6541382297049138
0.001300794424110814,0.078700064005974,0.04500994839375648,0.00019099896264328039,1.403811183526105,0.6555113769770919
0.00029870213992249186,0.07972691691445188,0.044443186735210825,0.000838520557062049,1.4010494198615504,0.6550810349626449
0.0005682446132642756,0.07938448503705213,0.04473300756643245,0.00046219036260919415,1.4006832935148759,0.654525474810846
0.0010220730169340773,0.07892599442308569,0.044943546334548445,0.00022903076955449933,1.403524956775252,0.6572996177270871
8.043203419833651e-05,0.08022410905488411,0.04330755614696814,0.0035822451936516637,1.4001425733824895,0.6538356798932123
0.00048005499310283927,0.07950553334760285,0.04464995550242975,0.0005851193828358441,1.4002155686670623,0.6538822962961524
0.003347775523736949,0.07079617199114017,0.04522531228312115,1.0331101558757183e-07,2.3453576509661795,0.6644105833706443
0.00010894718469794041,0.08010261442900514,0.04373449476870144,0.002305425732276859,1.4005809064454702,0.6543658454356248
0.0067295728881693025,0.07631391164603225,0.04532063035008846,3.45911558298052e-05,1.4016361702333024,0.6547245654018785
6.689786385807823e-05,0.0802241592847833,0.04323831020355246,0.0037633435631244465,1.400567515270587,0.6542746208824534
2.079271704666145e-06,0.08124135079708511,0.013503504870335378,1.543858167032677,1.3999823980510553,0.6039497293656549
0.00369419278400056,0.07727191953068267,0.0452308883980183,5.361011801908764e-05,1.4198340018336866,0.6566643254021399
0.0007073883033609067,0.07925104493633695,0.04481512606098103,0.00039308357969533206,1.4002467713633335,0.6539044013800686
0.0011797377273878363,0.07882781579234127,0.04498725100018278,0.00022218815259262463,1.4005563674932002,0.6543744449296894
0.0002978868683684032,0.07974638078375815,0.04442781884144817,0.0008877054581794557,1.4003393685661174,0.6540517433211919
0.023086755212735278,0.07275452726109971,0.0454650279072799,1.0890781694309956e-05,1.4003076517713928,0.653969526629649
0.02723600215830761,0.07209675910247951,0.045476259893510444,8.355838631930898e-06,1.4003777605373038,0.6540045062518007
0.003657890372703606,0.07745458097277275,0.04524694254795402,7.553857239087535e-05,1.400277305297248,0.6539409094712755
0.018238474013617834,0.07330875830278877,0.04541971367966929,1.125881005467734e-05,1.4299280440280846,0.6544560819129491
