beta1,beta2,alpha
0.9016552178334276,5.9879534918182246e-06,0.04312782015348069
0.8987191978736435,0.03908748335642553,0.033918210840368564
0.90160051635709,8.520921834837434e-05,0.04280516673709585
0.9016704651892719,0.0003031496718607645,0.04239185614720697
0.9011504744022497,0.10630039750164492,0.028539013479503095
0.8869435766702005,1.4507708026998567,0.004817269766427044
0.9017194898217465,0.00320890624116591,0.040439587917161304
0.9017436697052649,0.007477032300400962,0.03899109976442869
0.9017001441551965,0.0016064630959813796,0.041258787395963066
0.905592825912883,0.2775382389785194,0.021336020783004877
0.9018160406579768,0.0007317083210599887,0.04190668345897446
0.9009472250369173,0.016472150609270902,0.03704056239833241
